"ID","Pays","Region","Departement","Commune","Site","Categorie","Groupe","Type","Variante","Contexte","Periode","Phase","Etape","Indice_confiance","Typo_techno","Emmanchement","Canal_pommeau","Construction_pommeau","Description","Longueur","Conservation","Inventaire","Bibliographie","Commentaires","X","Y"
1210,"Allemagne","Bayern","Oberbayern","Mauern",NA,"Épée à poignée métallique","Formes mixtes fin CU","Mörigen-Tachlovice","Hybride","Funéraire","Bronze final","Bronze final 3","Bronze final 3b",2,NA,"Sur-coulée",0,"Coulé","L. env. 69,5 cm, patine verte, épée anciennement brisée en six morceaux.",69.5,"Heimatmus. Neuburg a. d. Donau","V 1573","Eckstein 1963 p. 88-92, fig. 3, 1 ; Quillfeldt 1995 n°248 p. 230, Taf. 86, 248 ; Stockhammer 2004 p. 212",NA,11.06234,48.7716944
1213,"Allemagne","Niedersachsen",NA,"Meckelstedt",NA,"Épée à poignée métallique","Épées à fusée octogonale","Épées à fusée octogonale","Hausmoning","Funéraire","Bronze moyen","Bronze moyen 3",NA,2,NA,"Rivets+Blocage",0,"Coulé",NA,67.2,"Mus. Hannover","1555","Holste 1953 n°53 p. 49 ; Laux 2009 n°168 p. 71, Taf. 25, 168",NA,8.9329061,53.5974389
1216,"Allemagne","Baden-Württemberg","Freiburg","Meißenheim",NA,"Épée à poignée métallique","Garde pointue",NA,"Indéterminée","Inconnu","Bronze moyen","Bronze moyen 3",NA,4,"EPC1c","Rivets+Blocage",0,"Encastré","L. 75 cm, patine croûteuse brun vert, par endroits enlevée récemment, tranchants endommagés, pointe de la lame pliée. Restes de décors dans la partie supérieure. Quatre rivets : deux gros centraux et deux petits latéraux. Échancrure trilobée.",75,"Coll. privée",NA,"Müller-Karpe 1955, p. 24-26, Abb. 1, 1 ; Hundt 1962 fig. 2, 2-5 ; Quillfeldt 1995 n°16 p. 43, Taf. 6, 16",NA,7.7785925,48.4099191
1226,"République tchèque","Plzeňský kraj","Okres Domažlice","Milavče","Tumulus C1","Épée à poignée métallique","Riegsee","Riegsee",NA,"Funéraire","Bronze final","Bronze final 1",NA,4,"EPC3b","Rivets",1,"Coulé",NA,74,"Nárdoní muz., Praha","111.867","Holste 1953, n°56 p. 53 ; Pare 1999 fig. 4 p. 426 ; Stockhammer 2004 p. p. 284 ; Winiker 2015 n°13 p. 38-39, Taf. 6, 13",NA,12.9807234,49.4665146
1228,"Croatie",NA,"Krapinsko-zagorska županija","Miljana/Gde. Klanjec",NA,"Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Högl/Liptau","Dépôt","Bronze final","Bronze final 3","Bronze final 3a",2,NA,"Rivets+Blocage",0,"Coulé",NA,18.1,"Arheološki Muz. Zagreb","11308","Harding 1995 n°241 p. 76, Taf. 31, 241 ; Stockhammer 2004 p. 239",NA,15.744086,46.0508371
1231,"Autriche","Oberösterreich",NA,"Mining","Frauenstein","Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Gundelsheim","Milieu humide","Bronze final","Bronze final 2",NA,2,NA,"Rivets+Blocage",0,"Coulé","Épée à fusée à trois bourrelets, type Gundelsheim. Fragment avec poignée et début lame : 17,2 cm. Autre fragment de lame conservé. Pommeau circulaire avec bouton tronconique. Décor de méandre et de cercles concentriques. La fusée présente trois bourrelets lisses. Les champs portent un décor de spirales formées de deux lignes. Ce motif, en grande partie effacée, se devine également dans la partie supérieure de la garde triangulaire. Celle-ci présente une grande échancrure en fer à cheval. La lame est de section losangique.",17.2,"Heimathaus Braunau","P 256","Reitinger 1968 fig. 243 p. 297 ; Erbach 1985 Taf. 76, 1 ; Krämer 1985 n°55 p. 24, Taf. 10, 55 ; Stockhammer 2004 p. 245",NA,13.1610492,48.2767899
1233,"Allemagne","Bayern","Oberpfalz","Mintraching",NA,"Indéterminé",NA,NA,NA,"Dépôt","Bronze final","Bronze final 2",NA,1,NA,"Indéterminé",0,"Indéterminé","1 fragment de lame d'épée, L. conservée 4,5 cm",NA,"Mus. d. Stadt Regensburg","A 644","Stein 1979, 154, n°351 ; Hansen 1994, 466, n°715",NA,12.2412118,48.9555858
1234,"Allemagne","Bayern","Oberbayern","Mitterdarching",NA,"Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Högl/Liptau","Isolé","Bronze final","Bronze final 2",NA,2,NA,"Rivets+Blocage",0,"Coulé","fragment, L. conservée 18,8 cm, patine vert foncé à noirâtre, croûteuse, peu de traces d'utilisation, lame brisée anciennement, cassure tordue.",18.8,"Heimatmus. Miesbach",NA,"Müller-Karpe 1961 Taf. 30, 1 et 76, 1 ; Quillfeldt 1995 n°174 p. 175, Taf. 60, 174 ; Stockhammer 2004 p. 208",NA,11.7718826,47.8687141
1235,"Allemagne","Bayern","Oberbayern","Mittich",NA,"Épée à poignée métallique","Épée à pommeau en coupelle","Épée à pommeau en coupelle","Autre","Milieu humide","Bronze final","Bronze final 3","Bronze final 3a",2,NA,"Rivets+Blocage",0,"Coulé","Patine verte, dégâts récents sur le pommeau et la lame, peu de traces du décor.",NA,"Coll. privée",NA,"Quillfeldt 1995 n°204 p. 194, Taf. 69, 204 ; Stockhammer 2004 p. 209",NA,13.397369,48.4410729
1237,"Allemagne","Baden-Württemberg",NA,"Möckmühl",NA,"Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Gundelsheim","Funéraire","Bronze final","Bronze final 2","Bronze final 2a",2,NA,"Rivets+Blocage",0,"Coulé","L. conservée 63,2 cm, patine brun vert, en partie croûteuse, effritée, décoration en partie illisible, fortes traces d'utilisation, lame brisé anciennement et tordue, la pointe de la lame manque, tranchants endommagés.",63.2,"Oberschule Möckmühl",NA,"Dehn 1972, p. 91, Taf. 4, A ; Quillfeldt 1995 n°149 p. 151, Taf. 51, 149 ; Stockhammer 2004 p. 206",NA,9.3582062,49.3231289
1251,"Danemark","Region Sjælland",NA,"Moseby",NA,"Épée à poignée métallique","Épées à fusée octogonale","Épées à fusée octogonale","Vasby","Funéraire","Bronze moyen","Bronze moyen 3",NA,1,NA,"Rivets+Blocage",0,"Coulé",NA,68.8,"NM København","21601","Holste 1953 n°90 p. 49 ; Aner, Kersten 1977 n°1618 p. 67, Taf. 45, 1618 ; Bunnefeld 2016 n°C29 p. 305",NA,12.095791,54.839625
1256,"République tchèque","Ústecký kraj","Okres Most","Most",NA,"Épée à poignée métallique","Riegsee","Riegsee",NA,"Inconnu","Bronze final","Bronze final 1",NA,2,NA,"Rivets+Blocage",0,"Coulé",NA,62.1,"Coll. Dr. N. Fryda, disparue",NA,"Stockhammer 2004 p. 284 ; Winiker 2015 n°11 p. 38, Taf. 5, 11",NA,13.6362569,50.503189
1260,"Allemagne","Bayern","Oberbayern","Mühldorf a. Inn",NA,"Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Autre","Milieu humide","Bronze final","Bronze final 2",NA,2,NA,"Rivets+Blocage",0,"Coulé","L. 66 cm, couleur bronze, forte usure en raison du séjour dans une rivière, peu de traces du décor, lame légèrement tordue, trou au niveau du sommet du pommeau.",66,"Arch. Staatsslg. München","1950, 9","Torbrügge 1960 n°25 p. 67, fig. 16, 3 ; Müller-Karpe 1961 Taf. 17, 12 ; Quillfeldt 1995 n°186 p. 186, Taf. 63, 186 ; Stockhammer 2004 p. 208",NA,12.5276633,48.2389044
1262,"Allemagne","Bayern","Oberbayern","Mühlhabing",NA,"Épée à poignée métallique","Spatzenhausen","Spatzenhausen ","apparenté","Isolé","Bronze moyen","Bronze moyen 2",NA,1,NA,"Rivets",0,"Indéterminé","fragment d'épée, patine verte par endroits blanchâtre, nur ein Teil des Hefts erhalten",NA,"Coll. privée",NA,"Koschik 1981, 74, Anm. 283 ; Quillfeldt 1995 n°9 p. 38 ;",NA,11.1940573,47.665954
1263,"Allemagne","Baden-Württemberg","Freiburg","Mühlheim a. d. Donau","Birkenloch","Épée à poignée métallique",NA,"Mörigen","Variante I","Funéraire","Bronze final","Bronze final 3",NA,2,NA,"Rivets",0,"Coulé","fragment, L. conservée 14,8 et 12,5 cm, rivet manquant, bord et trous de rivet brisés, trou oblong sur le pommeau.",NA,"Landesmus. Württemberg",NA,"Müller-Karpe 1961 Taf. 66, 9 ; Quillfeldt 1995 n°269 p. 236, Taf. 95, 269 ; Stockhammer 2004 p. 213",NA,8.8883779,48.0254794
2613,"Ukraine",NA,"Oblast Transkarpatien","Mukatschewo","Podgorjany/Podhorany/Podhering","Épée à poignée métallique","Épée à pommeau en coupelle","Épée à pommeau en coupelle","Autre","Dépôt","Bronze final","Bronze final 3","Bronze final 3a",2,NA,"Rivets+Blocage",0,"Coulé","Épée à pommeau en coupelle, morphologie étrange : la coupelle est ovale avec une petite ouverture et dépourvue de bouton central, tandis que la fusée est assez fine, biconique, avec un unique bourrelet central.",75.1,"MNM Budapest","85.1880.10","Kemenczei 1991 n°532 p. 88, Taf. 76, 532 ; Kobal 2000 n°112 p. 93, Taf. 83, 12",NA,22.70582,48.42903
2611,"Ukraine",NA,"Oblast Transkarpatien","Mukatschewo","Podgorjany/Podhorany/Podhering","Épée à poignée métallique","Épée à pommeau en coupelle","Épée à pommeau en coupelle","Autre","Dépôt","Bronze final","Bronze final 3","Bronze final 3a",2,NA,"Rivets+Blocage",0,"Coulé","Épée à pommeau en coupelle fortement endommagée. La garde échancrée en U est plus proche des épées à antennes du Ha B2/3 que de celle des épées à pommeau en coupelle classique. La lame pistilliforme présente une pointe assez effilée à la manière des lames en langue de carpe.",68,"MNM Budapest","85.1880.6","Kemenczei 1991 n°529 p. 88, Taf. 75, 529 ; Kobal 2000 n°112 p. 93 Taf. 82, 8",NA,22.70582,48.42903
2614,"Ukraine",NA,"Oblast Transkarpatien","Mukatschewo","Podgorjany/Podhorany/Podhering","Épée à poignée métallique","Épée à pommeau en coupelle","Épée à pommeau en coupelle","Autre","Dépôt","Bronze final","Bronze final 3","Bronze final 3a",2,NA,"Rivets+Blocage",0,"Coulé","L'épée est particulièrement grande : 91 cm, faisant écho aux Langschwerter de Cowen. La section aplatie avec une fine crête centrale est néanmoins typiquement orientale.",91.1,"MNM Budapest","85.1880.11","Kemenczei 1991 n°533 p. 88, Taf. 76, 533 ; Kobal 2000 n°112 p. 93 Taf. 83, 11",NA,22.70582,48.42903
2618,"Ukraine",NA,"Oblast Transkarpatien","Mukatschewo","Podgorjany/Podhorany/Podhering","Épée à poignée métallique","Épée à pommeau en coupelle","Épée à pommeau en coupelle","Autre","Dépôt","Bronze final","Bronze final 3","Bronze final 3a",2,NA,"Rivets+Blocage",0,"Coulé",NA,41.9,"MNM Budapest",NA,"Kemenczei 1991 n°537 p. 88, Taf. 77, 537 ; Kobal 2000 n°112 p. 93 Taf. 81, 7",NA,22.70582,48.42903
2617,"Ukraine",NA,"Oblast Transkarpatien","Mukatschewo","Podgorjany/Podhorany/Podhering","Épée à poignée métallique","Épée à pommeau en coupelle","Épée à pommeau en coupelle","Autre","Dépôt","Bronze final","Bronze final 3","Bronze final 3a",2,NA,"Rivets+Blocage",0,"Coulé",NA,26.9,"MNM Budapest","85.1880.14","Kemenczei 1991 n°536 p. 88, Taf. 77, 536 ; Kobal 2000 n°112 p. 93 Taf. 81, 6",NA,22.70582,48.42903
2612,"Ukraine",NA,"Oblast Transkarpatien","Mukatschewo","Podgorjany/Podhorany/Podhering","Épée à poignée métallique","Épée à pommeau en coupelle","Épée à pommeau en coupelle","Autre","Dépôt","Bronze final","Bronze final 3","Bronze final 3a",2,NA,"Rivets+Blocage",0,"Coulé",NA,69.5,"MNM Budapest","85.1880.7","Kemenczei 1991 n°530 p. 88, Taf. 76, 530 ; Kobal 2000 n°112 p. 93, Taf. 82, 9",NA,22.70582,48.42903
2616,"Ukraine",NA,"Oblast Transkarpatien","Mukatschewo","Podgorjany/Podhorany/Podhering","Épée à poignée métallique","Épée à pommeau en coupelle","Épée à pommeau en coupelle","Autre","Dépôt","Bronze final","Bronze final 3","Bronze final 3a",2,NA,"Rivets+Blocage",0,"Coulé",NA,63.5,"MNM Budapest","85.1880.13","Kemenczei 1991 n°535 p. 88, Taf. 77, 535 ; Kobal 2000 n°112 p. 93, Taf. 82, 10",NA,22.70582,48.42903
2615,"Ukraine",NA,"Oblast Transkarpatien","Mukatschewo","Podgorjany/Podhorany/Podhering","Épée à poignée métallique","Épée à pommeau en coupelle","Épée à pommeau en coupelle","Autre","Dépôt","Bronze final","Bronze final 3","Bronze final 3a",2,NA,"Rivets+Blocage",0,"Coulé",NA,60.5,"MNM Budapest","85.1880.12","Kemenczei 1991 n°534 p. 88, Taf. 77, 534 ; Kobal 2000 n°112 p. 93, Taf. 84, 14",NA,22.70582,48.42903
1265,"Ukraine",NA,"Oblast Transkarpatien","Mukatschewo","Podgorjany/Podhorany/Podhering","Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Högl/Liptau","Dépôt","Bronze final","Bronze final 3","Bronze final 3a",2,NA,"Rivets+Blocage",0,"Coulé","L. 64,1 cm",64.1,"MNM Budapest","85.1880.8","Kemenczei 1991 n°531 p. 88 ; Kobal 2000 n°112 p. 93, Taf. 83, 13 ; Stockhammer 2004 p. 292",NA,22.70582,48.42903
1268,"Allemagne","Bayern","Oberbayern","München",NA,"Épée à poignée métallique","Antennes","Weltenburg","Weltenburg","Funéraire","Bronze final/Premier âge du Fer","Bronze final 3 - Ha C","Bronze final 3b",2,NA,"Indéterminé",0,"Coulé","L. 60 cm, patine brune et verdâtre, écaillée, décor illisible, peu de traces d'utilisation, pas de trous, tranchants endommagés., traces de poinçons",60,"Arch. Staatsslg. München","NM 3543","Sprockhoff 1934 n°144 p. 138 ; Müller-Karpe 1961 Taf. 59, 4 et 82, 1 et 89, 8 ; Quillfeldt 1995 n°219 p. 208 , Taf. 75, 219 ; Stockhammer 2004 p. 210",NA,11.5801863,48.1391265
1274,"Allemagne","Baden-Württemberg","Tübingen","Münsingen","Münsinger Hart","Épée à poignée métallique",NA,"Münsinger Hardt",NA,"Funéraire","Bronze moyen","Bronze moyen 2",NA,2,NA,"Rivets",0,"Coulé","L. conservée 61,9 cm, patine verte, en partie croûteuse, dégâts anciens, épaulements fissurés, brisée en 4 parties, la pointe manque.",61.9,"Landesmus. Württemberg","10504","Naue 1903 Taf. 20, 5 ; Quillfeldt 1995 n°11 p. 40, Taf. 4, 11",NA,9.4972266,48.411669
1275,"Autriche","Tirol",NA,"Münster",NA,"Épée à poignée métallique","Riegsee","Riegsee",NA,"Inconnu","Bronze final","Bronze final 1",NA,1,NA,"Indéterminé",0,"Indéterminé","Épée de type Riegsee à fusée de section losangique, mauvais état de conservation. Aucune autre information faute de publication.",NA,"Coll. privée",NA,"Krämer 1985 n°30 p. 18 ; Stockhammer 2004 p. 243",NA,11.8335854,47.4214812
1279,"Allemagne","Bayern","Oberpfalz","Nabburg","Schafbühl","Épée à poignée métallique","Épées à fusée octogonale","Épées à fusée octogonale","Hausmoning","Isolé","Bronze moyen","Bronze moyen 3",NA,4,"EPC3b","Rivets+Blocage",1,"Coulé","Fragment, L. conservée 31,8 cm, patine verte en partie noirâtre écaillée, décor peu reconnaissable, traces d'utilisation, lame brisée anciennement, tranchants endommagés.",31.8,"Mus. d. Stadt Regensburg","1958, 43","Torbrügge 1960, p. 242, fig. 17, 1 ; Ankner 1977 p. 444-445, fig. 32, X ; Quillfeldt 1995 n°45 p. 57, Taf. 15, 45",NA,12.1802086,49.451791
1281,"Hongrie","Közép-Dunántúl","Kom. Veszprém","Nagydém",NA,"Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Högl/Liptau","Dépôt","Bronze final","Bronze final 2",NA,2,NA,"Rivets+Blocage",0,"Coulé","L. 15,1 cm",15.1,"Bakonyi Múzeum, Vezprém","63.378.1","Müller-Karpe 1961 n°19 p. 23, Taf. 19, 9 et Taf. 20, 10 ; Kemenczei 1991 n°119 p. 37, Taf. 28, 119 et 29, 119 ; Stockhammer 2004 p. 302",NA,17.6756629,47.4401656
1283,"Hongrie","Közép-Dunántúl","Kom. Veszprém","Nagydém",NA,"Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Högl/Liptau","Dépôt","Bronze final","Bronze final 2",NA,2,NA,"Rivets+Blocage",0,"Coulé",NA,14.1,NA,NA,"Kemenczei 1991 n°139 p. 40, Taf. 33, 139 et 34, 139 ; Stockhammer 2004 p. 303",NA,17.6756629,47.4401656
1282,"Hongrie","Közép-Dunántúl","Kom. Veszprém","Nagydém",NA,"Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Högl/Liptau","Dépôt","Bronze final","Bronze final 2",NA,2,NA,"Rivets+Blocage",0,"Coulé","L. 17,2 cm",17.2,"Bakonyi Múzeum, Vezprém","53 309 106","Müller-Karpe 1961 n°20 p. 23, Taf. 19, 9 et Taf. 20, 10 ; Kemenczei 1991 n°120 p. 37, Taf. 28, 120 et 29, 120 ; Stockhammer 2004 p. 302",NA,17.6756629,47.4401656
2559,"Hongrie","Közép-Dunántúl","Kom. Veszprém","Nagydém",NA,"Épée à poignée métallique","Indéterminé",NA,"Indéterminée","Dépôt","Bronze final","Bronze final 2",NA,2,NA,"Indéterminé",0,"Coulé","Fragment de la partie supérieure d'une poignée d'épée : partie supérieure de la fusée et pommeau.",4.4,"Coll. privée",NA,"Kemenczei 1991 n°192 p. 49, Taf. 43, 192",NA,17.6756629,47.4401656
1286,"Hongrie","Észak-Alföld","Kom. Jász-Nagykun-Szolnok","Nagyrév",NA,"Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Högl/Liptau","Isolé","Bronze final","Bronze final 2",NA,2,NA,"Rivets+Blocage",0,"Coulé","Type Högl-Liptau, pommeau orné de demi-cercles concentriques dans des compartiments disposés autour du bouton central.",62.6,"Damjanich János Múzeum, Szolnok","61.82.1","Kemenczei 1991 n°109 p. 35, Taf. 25, 109 et 27, 109 ; Stockhammer 2004 p. 301",NA,20.149267,46.941819
1290,"Hongrie","Észak-Alföld","Kom. Szabolcs-Szatmár-Bereg","Napkor",NA,"Épée à poignée métallique","Riegsee","Riegsee","Peut-être","Dépôt","Bronze final","Bronze final 1",NA,3,NA,"Rivets+Blocage",0,"Coulé","Fragment d'épée certainement du type Riegsee. Seule une partie de la garde est conservée. Celle-ci est en demi-cercle, avec une échancrure de la même forme, encadrée par deux petits rivets, complétés par quatre rivets factices simulés par un décor de cercles concentriques. La fusée et le pommeau ont disparu. La languette est bipartite, assez courte, de forme quadrangulaire. La partie de la lame conservé est assez plate, avec un renflement médian de section losangique, ce qui est assez inhabituel. Le fragment est ondulé.",13,"Jósa András Múzeum, Nyíregyháza","67.194.21","Kemenczei 1991 n°65 p. 24, Taf. 13, 65 ; Stockhammer 2004 p. 298",NA,21.8694179,47.938544
1292,"Allemagne","Bayern","Oberbayern","Nassenfels",NA,"Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Nassenfels","Milieu humide","Bronze final","Bronze final 2-3",NA,4,"EPC3b","Rivets+Blocage",0,"Coulé","Épée fragmentaire, fusée à 3 bourrelets caractères originaux rappelant également les épées à pommeau en coupelle. Elle a très certainement été brisée volontairement.",17,"NHM Nürnberg","8358","Hofmann 1982 ; Quillfeldt 1995 n°165 p. 170, Taf. 57,165 ; Stockhammer 2004 p. 207",NA,11.2285169,48.7975018
1302,"Allemagne","Bayern","Oberbayern","Neuhaus a. Inn",NA,"Épée à poignée métallique",NA,"Mörigen","Variante V","Milieu humide","Bronze final","Bronze final 3","Bronze final 3b",2,NA,"Rivets",0,"Coulé","L. 62 cm, patine verte, fortement polie en raison du dépôt dans un cours d'eau, récemment (?) fissurée.",62,"Arch. Staatsslg. München","1961, 100","Torbrügge 1960, n°28a p. 68 ; Torbrügge 1965 fig. 2 p. 73 ; Quillfeldt 1995 n°276 p. 239, Taf. 98, 276 ; Stockhammer 2004 p. 213",NA,13.4189336,48.4610865
1303,"Allemagne","Baden-Württemberg","Stuttgart","Neuhausen a. d. Fildern","Bahnhofstraße","Épée à poignée métallique",NA,"Auvernier",NA,"Isolé","Bronze final","Bronze final 3","Bronze final 3b",2,NA,"Sur-coulée",0,"Coulé","L. 68,2 cm, grünbraune, patine vert-brun, vert-bleu et croûteuse, en partie enlevée récemment, récemment bosselée, coupelle du pommeau et rivets perdus. Le pommeau semble être coulé, et non rapporté comme c'est normalement le cas. Il est surmonté d'un grand bouton tronconique. Ce pommeau pouvait-il accueillir une garniture organique ?",68.2,"Coll. privée",NA,"Quillfeldt 1995 n°236 p. 218, Taf. 81, 236 ; Stockhammer 2004 p. 211",NA,9.278309,48.682871
1305,"Autriche","Salzburg",NA,"Neumarkt a. Wallersee",NA,"Épée à poignée métallique","Épées à fusée octogonale","Épées à fusée octogonale","Adum","Inconnu","Bronze moyen","Bronze moyen 3",NA,2,NA,"Rivets",0,"Coulé","Épée à fusée octogonale apparentée au type Ådum. Pommeau ovale, légèrement bombée, avec bouton central tronconique, décoré sur ses côtés de colonnes d'arcs de cercle. Le plateau du pommeau présente ce même motif disposé radialement autour du bouton. Deux lignes pointillés séparent ce registre des spirales disposées sur la bordure. La fusée de section octogonale est légèrement bombée et divisée en 4 champs. Les deux centraux portent un décor de spirales tandis que les latéraux reprennent les colonnes d'arcs de cercle. La garde est campaniforme, avec une large échancrure semi-circulaire, et munie de deux petits rivets. S'y ajoutent 4 rivets simulés par le décor : deux par des cercles concentriques et deux par deux spirales reliées entre elles à la manière d'un pendentif. La lame courte est droite et certainement de section biconvexe.",60,NA,NA,"Krämer 1985 n°18 p. 15, Taf. 4, 18",NA,13.2240654,47.9469584
1307,"Allemagne","Bayern","Niederbayern","Neustadt a. d. Donau",NA,"Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Högl/Liptau","Milieu humide","Bronze final","Bronze final 2",NA,2,NA,"Rivets+Blocage",0,"Coulé","L. 66,2 cm, lame légèrement tordue, ricasso légèrement dentelé.",66.2,"Coll. privée, dépôt Mus. Kelheim",NA,"Quillfeldt 1995 n°170 p. 174, Taf. 59, 170 ; Stockhammer 2004 p. 207",NA,11.763568,48.808672
1310,"Allemagne","Bayern","Niederbayern","Niederaichbach",NA,"Épée à poignée métallique","Antennes","Weltenburg","Weltenburg","Milieu humide","Bronze final","Bronze final 3","Bronze final 3b",2,NA,"Rivets",0,"Coulé","L. 68,4 cm, patine écaillée brune, en partie verdâtre, en partie enlevée récemment, forte usure, trous de rivet fissurés, lame légèrement tordue.",68.4,"Stadt- und Kreismus. Landshut","1974, A 2762","Quillfeldt 1995 n°217 p. 207 ; Stockhammer 2004 p. 210",NA,12.3165657,48.603359
1311,"Allemagne","Bayern","Oberpfalz","Niedertraubling",NA,"Indéterminé",NA,NA,NA,"Dépôt","Bronze final","Bronze final 2",NA,1,NA,"Indéterminé",0,"Indéterminé","1 fragment de lame d'épée, L. conservée 12,4 cm",NA,"Mus. d. Stadt Regensburg","1952/47","Stein 1979, 156, n°356, Taf. 108,1 ; Hansen 1994, 467, n°773",NA,12.1845196,48.9597866
2377,"Suisse","Kt. Glarus",NA,"Niederurnen",NA,"Épée à poignée métallique",NA,"Mörigen","Variante I","Milieu humide","Bronze final","Bronze final 3","Bronze final 3b",2,NA,"Rivets",0,"Coulé","Épée du type Mörigen à fusée à trois bourrelets. Le pommeau est ovale, en selle, avec un sillon épousant son contour et un motif cruciforme central, certainement destiné à accueillir des incrustations décoratives. La fusée est très fortement bombée en son centre, avec trois bourrelets très profilés et une échine soutenant le pommeau. La garde est à ailerons, assez épaisse, avec une petite échancrure en V et un unique rivet. La lame est droite avec un décor de filets et un ricasso à crans.",60,"Museum Glarus",NA,"Sprockhoff 1934 n°97 p. 127 ; Krämer 1985 n°130 p. 41, Taf. 22, 130",NA,9.0546645,47.1266134
1316,"Autriche","Oberösterreich",NA,"Nöfing","Hagland","Épée à poignée métallique","Riegsee","Riegsee",NA,"Funéraire","Bronze final","Bronze final 1",NA,4,"EPC3b","Rivets+Blocage",1,"Coulé","Épée du type Riegsee. Pommeau sub-circulaire avec bouton tronconique. Plateau décoré de larges cercles concentriques et de bandes concentriques de motifs de paragraphe au centre. Mêmes motifs en bande verticales sur la fusée bombée. La garde est quant à elle ornée de cercles concentriques simulant des rivets. Des lignes parallèles soulignent la base. La garde est en fer à cheval. La lame est droite, sans ricasso, avec un bourrelet médian bien marqué. La pointe manque.",62.3,"Oberösterr. Landesmus. Linz","A 607","Reitinger 1968 fig. 288 p. 374 et fig. 289, 1 p. 375 ; Ankner 1977 n°41 p. 410-411 ; Erbach 1985 n°702 p. 168, Taf. 39 C, 1 ; Krämer 1985 n°33 p. 18, Taf. 7, 33 ; Stockhammer 2004 p. 243",NA,13.0862617,48.2624556
1320,"Danemark","Region Midtjylland",NA,"Nørre Lem",NA,"Épée à poignée métallique","Épées à fusée octogonale","Épées à fusée octogonale","Vasby","Funéraire","Bronze moyen","Bronze moyen 3",NA,1,NA,"Indéterminé",0,"Indéterminé",NA,NA,NA,"B 6785, 6789","Broholm 1943, 85, n°738 ; Bunnefeld 2016, C58",NA,8.769974,56.600412
1323,"Slovaquie","Trenčiansky kraj","Okres Nové Mesto nad Váhom","Nové Mesto nad Váhom",NA,"Épée à poignée métallique","Formes spéciales début CU",NA,NA,"Milieu humide","Bronze final","Bronze final 1",NA,4,"EPC3b","Rivets+Blocage",1,"Coulé",NA,65.2,"Mus. Nové Mesto nad Váhom","H 214","Stockhammer 2004 p. 280 ; Novotná 2014 n°5 p. 25, Taf. 1, 5",NA,17.8326971,48.7563795
1324,"République tchèque","Kraj Vysočina","Okres Třebíč","Nové Syrovice",NA,"Indéterminé","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Högl/Liptau","Isolé","Bronze final","Bronze final 2",NA,4,"EPC3b","Rivets+Blocage",1,"Coulé",NA,73.8,"Moravské zemské muz., Brno","64831","Müller-Karpe 1961 Taf. 23, 7 ; Říhovský 2000 n°9 p. 144, Taf. 4, 9 ; Stockhammer 2004 p. 290",NA,15.7743606,49.0181162
1327,"Allemagne","Bayern","Oberbayern","Nußdorf a. Inn",NA,"Épée à poignée métallique","Épées à fusée à trois bourrelets","Épées à fusée à trois bourrelets","Gundelsheim","Funéraire","Bronze final","Bronze final 2",NA,2,NA,"Rivets+Blocage",0,"Coulé","Épée à fusée à 3 bourrelets du type Gundelsheim, pliée et brisée 4 fragments, la pointe manque.",NA,NA,NA,"Möslein 1997 ; Stockhammer 2004 p. 215",NA,12.156287,47.7419458
2560,"Hongrie","Észak-Magyarország","Kom. Borsod-Abaúj-Zemplén","Nyékládháza",NA,"Indéterminé",NA,NA,NA,"Dépôt","Bronze final","Bronze final 2",NA,2,NA,"Indéterminé",0,"Indéterminé","Kemenczei 1991 n°193 p. 49 : fragments d'une lame d'épée à poignée métallique. Il s'agit d'une lame pistilliforme de section losangique à languette bipartite percée de 2 trous de rivets qui a tout à fait pu appartenir à une épée à fusée à 3 bourrelets.",64.3,"Herman Ottó Múzeum, Miskolc","53.640.2","Kemenczei 1991 n°193 p. 49, Taf. 43, 193",NA,20.8370801,47.991777
1332,"Danemark","Region Midtjylland",NA,"Tvedhøjgård",NA,"Épée à poignée métallique","Épées à fusée octogonale","Épées à fusée octogonale","Vasby","Funéraire","Bronze moyen","Bronze moyen 3",NA,1,NA,"Rivets+Blocage",0,"Coulé",NA,53.2,"NM København","B 13574-75","Broholm 1943, n°547c p. 268 ; Holste 1953 n°100 p. 50 ; Aner, Kersten, Willroth 2001 n°5105 A p. 71-72 ; Bunnefeld 2016 n°C48 p. 307",NA,8.6480525,57.1011736
